zipcode,city,kreis,state
78337,Öhningen,Kreis Konstanz,Baden-Württemberg
78224,Singen/Hohentwiel,Kreis Konstanz,Baden-Württemberg
78247,Singen/Hohentwiel,Kreis Konstanz,Baden-Württemberg
78267,Aach im Hegau,Kreis Konstanz,Baden-Württemberg
78259,Mühlhausen-Ehingen,Kreis Konstanz,Baden-Württemberg
78234,Engen,Kreis Konstanz,Baden-Württemberg
78607,Talheim Kr. Tuttlingen,Kreis Tuttlingen,Baden-Württemberg
78591,Durchhausen,Kreis Tuttlingen,Baden-Württemberg
78609,Tuningen,Schwarzwald-Baar-Kreis,Baden-Württemberg
73271,Holzmaden,Kreis Esslingen,Baden-Württemberg
72649,Wolfschlugen,Kreis Esslingen,Baden-Württemberg
73770,Denkendorf/Württemberg,Kreis Esslingen,Baden-Württemberg
73760,Ostfildern,Kreis Esslingen,Baden-Württemberg
73765,Neuhausen auf den Fildern,Kreis Esslingen,Baden-Württemberg
73257,Köngen,Kreis Esslingen,Baden-Württemberg
73249,Wernau/Neckar,Kreis Esslingen,Baden-Württemberg
73240,Wendlingen am Neckar,Kreis Esslingen,Baden-Württemberg
72669,Unterensingen,Kreis Esslingen,Baden-Württemberg
72644,Oberboihingen,Kreis Esslingen,Baden-Württemberg
73275,Ohmden,Kreis Esslingen,Baden-Württemberg
73119,Zell unter Aichelberg,Kreis Göppingen,Baden-Württemberg
73087,Zell unter Aichelberg,Kreis Göppingen,Baden-Württemberg
73265,Dettingen unter Teck,Kreis Esslingen,Baden-Württemberg
78166,Donaueschingen,Schwarzwald-Baar-Kreis,Baden-Württemberg
78147,Vöhrenbach,Schwarzwald-Baar-Kreis,Baden-Württemberg
78112,St. Georgen/Schwarzwald,Schwarzwald-Baar-Kreis,Baden-Württemberg
78112,Mönchweiler,Schwarzwald-Baar-Kreis,Baden-Württemberg
78087,Mönchweiler,Schwarzwald-Baar-Kreis,Baden-Württemberg
78089,Unterkirnach,Schwarzwald-Baar-Kreis,Baden-Württemberg
72666,Neckartailfingen,Kreis Esslingen,Baden-Württemberg
72631,Aichtal,Kreis Esslingen,Baden-Württemberg
72663,Großbettlingen,Kreis Esslingen,Baden-Württemberg
72655,Altdorf b. Nürtingen,Kreis Esslingen,Baden-Württemberg
72622,Nürtingen,Kreis Esslingen,Baden-Württemberg
72661,Grafenberg,Kreis Reutlingen,Baden-Württemberg
72660,Beuren b. Nürtingen,Kreis Esslingen,Baden-Württemberg
72636,Frickenhausen/Württemberg,Kreis Esslingen,Baden-Württemberg
73277,Owen,Kreis Esslingen,Baden-Württemberg
73266,Lenningen,Kreis Esslingen,Baden-Württemberg
73252,Lenningen,Kreis Esslingen,Baden-Württemberg
73266,Bissingen an der Teck,Kreis Esslingen,Baden-Württemberg
73333,Gingen an der Fils,Kreis Göppingen,Baden-Württemberg
73101,Aichelberg,Kreis Göppingen,Baden-Württemberg
73084,Salach,Kreis Göppingen,Baden-Württemberg
73107,Heiningen Kr. Göppingen,Kreis Göppingen,Baden-Württemberg
73092,Heiningen Kr. Göppingen,Kreis Göppingen,Baden-Württemberg
73037,Heiningen Kr. Göppingen,Kreis Göppingen,Baden-Württemberg
73107,Eschenbach/Württemberg,Kreis Göppingen,Baden-Württemberg
73037,Eschenbach/Württemberg,Kreis Göppingen,Baden-Württemberg
73337,Bad Überkingen,Kreis Göppingen,Baden-Württemberg
73329,Kuchen,Kreis Göppingen,Baden-Württemberg
73114,Schlat,Kreis Göppingen,Baden-Württemberg
73079,Süßen,Kreis Göppingen,Baden-Württemberg
73054,Süßen,Kreis Göppingen,Baden-Württemberg
73326,Deggingen,Kreis Göppingen,Baden-Württemberg
73312,Deggingen,Kreis Göppingen,Baden-Württemberg
73312,Böhmenkirch,Kreis Göppingen,Baden-Württemberg
89558,Böhmenkirch,Kreis Göppingen,Baden-Württemberg
73312,Bad Ditzenbach,Kreis Göppingen,Baden-Württemberg
73342,Bad Ditzenbach,Kreis Göppingen,Baden-Württemberg
73345,Bad Ditzenbach,Kreis Göppingen,Baden-Württemberg
73312,Geislingen an der Steige,Kreis Göppingen,Baden-Württemberg
73347,Mühlhausen im Täle,Kreis Göppingen,Baden-Württemberg
73349,Mühlhausen im Täle,Kreis Göppingen,Baden-Württemberg
73344,Gruibingen,Kreis Göppingen,Baden-Württemberg
73235,Gruibingen,Kreis Göppingen,Baden-Württemberg
73272,Neidlingen,Kreis Esslingen,Baden-Württemberg
73235,Weilheim an der Teck,Kreis Esslingen,Baden-Württemberg
73349,Wiesensteig,Kreis Göppingen,Baden-Württemberg
73349,Drackenstein,Kreis Göppingen,Baden-Württemberg
73345,Drackenstein,Kreis Göppingen,Baden-Württemberg
72639,Drackenstein,Kreis Göppingen,Baden-Württemberg
73268,Erkenbrechtsweiler,Kreis Esslingen,Baden-Württemberg
72584,Hülben,Kreis Reutlingen,Baden-Württemberg
72657,Altenriet,Kreis Esslingen,Baden-Württemberg
72141,Walddorfhäslach,Kreis Reutlingen,Baden-Württemberg
72658,Bempflingen,Kreis Esslingen,Baden-Württemberg
72654,Neckartenzlingen,Kreis Esslingen,Baden-Württemberg
72585,Riederich,Kreis Reutlingen,Baden-Württemberg
72555,Metzingen,Kreis Reutlingen,Baden-Württemberg
72829,Engstingen,Kreis Reutlingen,Baden-Württemberg
72532,Gomadingen,Kreis Reutlingen,Baden-Württemberg
72813,Sankt Johann/Württemberg,Kreis Reutlingen,Baden-Württemberg
79367,Weisweil,Kreis Emmendingen,Baden-Württemberg
79359,Riegel,Kreis Emmendingen,Baden-Württemberg
79369,Wyhl,Kreis Emmendingen,Baden-Württemberg
79362,Forchheim/Breisgau,Kreis Emmendingen,Baden-Württemberg
79365,Rheinhausen,Kreis Emmendingen,Baden-Württemberg
79336,Herbolzheim,Kreis Emmendingen,Baden-Württemberg
79341,Kenzingen,Kreis Emmendingen,Baden-Württemberg
79364,Malterdingen,Kreis Emmendingen,Baden-Württemberg
79346,Malterdingen,Kreis Emmendingen,Baden-Württemberg
79361,Sasbach am Kaiserstuhl,Kreis Emmendingen,Baden-Württemberg
79235,Vogtsburg im Kaiserstuhl,Breisgau-Hochschwarzwald,Baden-Württemberg
79356,Eichstetten am Kaiserstuhl,Breisgau-Hochschwarzwald,Baden-Württemberg
79268,Bötzingen,Breisgau-Hochschwarzwald,Baden-Württemberg
79241,Ihringen,Breisgau-Hochschwarzwald,Baden-Württemberg
79291,Merdingen,Breisgau-Hochschwarzwald,Baden-Württemberg
79288,Gottenheim,Breisgau-Hochschwarzwald,Baden-Württemberg
79224,Umkirch,Breisgau-Hochschwarzwald,Baden-Württemberg
79232,March,Breisgau-Hochschwarzwald,Baden-Württemberg
79276,Reute,Kreis Emmendingen,Baden-Württemberg
79279,Vörstetten,Kreis Emmendingen,Baden-Württemberg
79312,Emmendingen,Kreis Emmendingen,Baden-Württemberg
79211,Denzlingen,Kreis Emmendingen,Baden-Württemberg
79348,Freiamt,Kreis Emmendingen,Baden-Württemberg
79350,Sexau,Kreis Emmendingen,Baden-Württemberg
79261,Gutach im Breisgau,Kreis Emmendingen,Baden-Württemberg
79297,Winden im Elztal,Kreis Emmendingen,Baden-Württemberg
79183,Waldkirch,Kreis Emmendingen,Baden-Württemberg
79271,Waldkirch,Kreis Emmendingen,Baden-Württemberg
79252,Stegen,Breisgau-Hochschwarzwald,Baden-Württemberg
79199,Kirchzarten,Breisgau-Hochschwarzwald,Baden-Württemberg
79274,Sankt Märgen,Breisgau-Hochschwarzwald,Baden-Württemberg
79256,Buchenbach,Breisgau-Hochschwarzwald,Baden-Württemberg
79871,Eisenbach,Breisgau-Hochschwarzwald,Baden-Württemberg
79807,Lottstetten,Kreis Waldshut,Baden-Württemberg
79639,Grenzach-Wyhlen,Kreis Lörrach,Baden-Württemberg
76473,Iffezheim,Kreis Rastatt,Baden-Württemberg
76470,Ötigheim,Kreis Rastatt,Baden-Württemberg
76461,Muggensturm,Kreis Rastatt,Baden-Württemberg
76437,Rastatt,Kreis Rastatt,Baden-Württemberg
79249,Merzhausen,Breisgau-Hochschwarzwald,Baden-Württemberg
79280,Au/Breisgau,Breisgau-Hochschwarzwald,Baden-Württemberg
79289,Horben,Breisgau-Hochschwarzwald,Baden-Württemberg
79238,Ehrenkirchen,Breisgau-Hochschwarzwald,Baden-Württemberg
79299,Wittnau,Breisgau-Hochschwarzwald,Baden-Württemberg
72535,Heroldstatt,Alb-Donau-Kreis,Baden-Württemberg
79294,Sölden,Breisgau-Hochschwarzwald,Baden-Württemberg
88512,Mengen,Kreis Sigmaringen,Baden-Württemberg
88697,Mengen,Kreis Sigmaringen,Baden-Württemberg
88094,Oberteuringen,Bodenseekreis,Baden-Württemberg
88677,Markdorf,Bodenseekreis,Baden-Württemberg
88263,Horgenzell,Kreis Ravensburg,Baden-Württemberg
88693,Deggenhausertal,Bodenseekreis,Baden-Württemberg
79283,Bollschweil,Breisgau-Hochschwarzwald,Baden-Württemberg
79410,Badenweiler,Breisgau-Hochschwarzwald,Baden-Württemberg
88636,Illmensee,Kreis Sigmaringen,Baden-Württemberg
88630,Pfullendorf,Kreis Sigmaringen,Baden-Württemberg
88639,Wald/Hohenzollern,Kreis Sigmaringen,Baden-Württemberg
88634,Herdwangen-Schönach,Kreis Sigmaringen,Baden-Württemberg
88662,Überlingen,Bodenseekreis,Baden-Württemberg
79282,Ballrechten-Dottingen,Breisgau-Hochschwarzwald,Baden-Württemberg
79295,Sulzburg,Breisgau-Hochschwarzwald,Baden-Württemberg
79219,Staufen im Breisgau,Breisgau-Hochschwarzwald,Baden-Württemberg
79695,Wieden,Kreis Lörrach,Baden-Württemberg
79694,Utzenfeld,Kreis Lörrach,Baden-Württemberg
79244,Münstertal/Schwarzwald,Breisgau-Hochschwarzwald,Baden-Württemberg
79254,Oberried,Breisgau-Hochschwarzwald,Baden-Württemberg
79856,Hinterzarten,Breisgau-Hochschwarz-,Baden-Württemberg
79859,Schluchsee,Breisgau-Hochschwarzwald,Baden-Württemberg
79877,Friedenweiler,Breisgau-Hochschwarzwald,Baden-Württemberg
79853,Lenzkirch,Breisgau-Hochschwarzwald,Baden-Württemberg
79843,Löffingen,Breisgau-Hochschwarzwald,Baden-Württemberg
79879,Wutach,Kreis Waldshut,Baden-Württemberg
79805,Eggingen,Kreis Waldshut,Baden-Württemberg
79793,Wutöschingen,Kreis Waldshut,Baden-Württemberg
79787,Lauchringen,Kreis Waldshut,Baden-Württemberg
79798,Jestetten,Kreis Waldshut,Baden-Württemberg
79802,Dettighofen,Kreis Waldshut,Baden-Württemberg
79771,Klettgau,Kreis Waldshut,Baden-Württemberg
79801,Hohentengen am Hochrhein,Kreis Waldshut,Baden-Württemberg
79790,Küssaberg,Kreis Waldshut,Baden-Württemberg
79713,Bad Säckingen,Kreis Waldshut,Baden-Württemberg
79809,Weilheim Kr. Waldshut,Kreis Waldshut,Baden-Württemberg
79761,Waldshut-Tiengen,Kreis Waldshut,Baden-Württemberg
79862,Höchenschwand,Kreis Waldshut,Baden-Württemberg
79875,Dachsberg/Südschwarzwald,Kreis Waldshut,Baden-Württemberg
79837,Dachsberg/Südschwarzwald,Kreis Waldshut,Baden-Württemberg
79804,Dogern,Kreis Waldshut,Baden-Württemberg
79730,Dogern,Kreis Waldshut,Baden-Württemberg
79725,Laufenburg/Baden,Kreis Waldshut,Baden-Württemberg
79737,Herrischried,Kreis Waldshut,Baden-Württemberg
79736,Rickenbach,Kreis Waldshut,Baden-Württemberg
79664,Wehr/Baden,Kreis Waldshut,Baden-Württemberg
79686,Hasel,Kreis Lörrach,Baden-Württemberg
79688,Hausen im Wiesental,Kreis Lörrach,Baden-Württemberg
79650,Schopfheim,Kreis Lörrach,Baden-Württemberg
79689,Maulburg,Kreis Lörrach,Baden-Württemberg
79618,Rheinfelden/Baden,Kreis Lörrach,Baden-Württemberg
71706,Schwieberdingen,Kreis Ludwigsburg,Baden-Württemberg
71701,Schwieberdingen,Kreis Ludwigsburg,Baden-Württemberg
71706,Markgröningen,Kreis Ludwigsburg,Baden-Württemberg
73054,Eislingen/Fils,Kreis Göppingen,Baden-Württemberg
73113,Eislingen/Fils,Kreis Göppingen,Baden-Württemberg
79285,Ebringen,Breisgau-Hochschwarzwald,Baden-Württemberg
79292,Pfaffenweiler,Breisgau-Hochschwarzwald,Baden-Württemberg
79227,Schallstadt,Breisgau-Hochschwarzwald,Baden-Württemberg
79189,Bad Krozingen,Breisgau-Hochschwarzwald,Baden-Württemberg
97993,Creglingen,Main-Tauber-Kreis,Baden-Württemberg
97990,Creglingen,Main-Tauber-Kreis,Baden-Württemberg
97996,Niederstetten,Main-Tauber-Kreis,Baden-Württemberg
97980,Niederstetten,Main-Tauber-Kreis,Baden-Württemberg
79427,Niederstetten,Main-Tauber-Kreis,Baden-Württemberg
79423,Heitersheim,Breisgau-Hochschwarzwald,Baden-Württemberg
79426,Buggingen,Breisgau-Hochschwarzwald,Baden-Württemberg
79379,Müllheim im Markgräflerland,Breisgau-Hochschwarzwald,Baden-Württemberg
97922,Lauda-Königshofen,Main-Tauber-Kreis,Baden-Württemberg
97953,Königheim,Main-Tauber-Kreis,Baden-Württemberg
79424,Auggen,Breisgau-Hochschwarzwald,Baden-Württemberg
79395,Neuenburg am Rhein,Breisgau-Hochschwarzwald,Baden-Württemberg
79692,Kleines Wiesental,Kreis Lörrach,Baden-Württemberg
97956,Werbach,Main-Tauber-Kreis,Baden-Württemberg
97941,Tauberbischofsheim,Main-Tauber-Kreis,Baden-Württemberg
97900,Külsheim,Main-Tauber-Kreis,Baden-Württemberg
79415,Bad Bellingen,Kreis Lörrach,Baden-Württemberg
79418,Schliengen,Kreis Lörrach,Baden-Württemberg
79429,Malsburg-Marzell,Kreis Lörrach,Baden-Württemberg
79585,Steinen Kr. Lörrach,Kreis Lörrach,Baden-Württemberg
79400,Kandern,Kreis Lörrach,Baden-Württemberg
79599,Wittlingen,Kreis Lörrach,Baden-Württemberg
79595,Rümmingen,Kreis Lörrach,Baden-Württemberg
79597,Schallbach,Kreis Lörrach,Baden-Württemberg
79588,Efringen-Kirchen,Kreis Lörrach,Baden-Württemberg
79591,Eimeldingen,Kreis Lörrach,Baden-Württemberg
73614,Schorndorf/Württemberg,Rems-Murr-Kreis,Baden-Württemberg
73614,Urbach/Rems,Rems-Murr-Kreis,Baden-Württemberg
73660,Urbach/Rems,Rems-Murr-Kreis,Baden-Württemberg
73655,Urbach/Rems,Rems-Murr-Kreis,Baden-Württemberg
79576,Weil am Rhein,Kreis Lörrach,Baden-Württemberg
72537,Mehrstetten,Kreis Reutlingen,Baden-Württemberg
88518,Herbertingen,Kreis Sigmaringen,Baden-Württemberg
88454,Hochdorf/Riß,Kreis Biberach,Baden-Württemberg
88436,Hochdorf/Riß,Kreis Biberach,Baden-Württemberg
88454,Ummendorf b. Biberach,Kreis Biberach,Baden-Württemberg
88444,Ummendorf b. Biberach,Kreis Biberach,Baden-Württemberg
71723,Großbottwar,Kreis Ludwigsburg,Baden-Württemberg
73491,Neuler,Ostalbkreis,Baden-Württemberg
73479,Neuler,Ostalbkreis,Baden-Württemberg
73460,Hüttlingen,Ostalbkreis,Baden-Württemberg
73453,Hüttlingen,Ostalbkreis,Baden-Württemberg
73434,Hüttlingen,Ostalbkreis,Baden-Württemberg
73453,Aalen,Ostalbkreis,Baden-Württemberg
73430,Aalen,Ostalbkreis,Baden-Württemberg
73432,Aalen,Ostalbkreis,Baden-Württemberg
73433,Aalen,Ostalbkreis,Baden-Württemberg
73434,Aalen,Ostalbkreis,Baden-Württemberg
73431,Aalen,Ostalbkreis,Baden-Württemberg
73453,Schechingen,Ostalbkreis,Baden-Württemberg
73579,Schechingen,Ostalbkreis,Baden-Württemberg
73486,Schechingen,Ostalbkreis,Baden-Württemberg
71299,Wimsheim,Enzkreis,Baden-Württemberg
77876,Kappelrodeck,Ortenaukreis,Baden-Württemberg
77871,Renchen,Ortenaukreis,Baden-Württemberg
77866,Rheinau,Ortenaukreis,Baden-Württemberg
77839,Lichtenau/Baden,Kreis Rastatt,Baden-Württemberg
77836,Rheinmünster,Kreis Rastatt,Baden-Württemberg
77704,Oberkirch,Ortenaukreis,Baden-Württemberg
77975,Ringsheim,Ortenaukreis,Baden-Württemberg
77971,Kippenheim,Ortenaukreis,Baden-Württemberg
77933,Lahr/Schwarzwald,Ortenaukreis,Baden-Württemberg
77972,Mahlberg,Ortenaukreis,Baden-Württemberg
77977,Rust,Ortenaukreis,Baden-Württemberg
77966,Kappel-Grafenhausen,Ortenaukreis,Baden-Württemberg
77955,Ettenheim,Ortenaukreis,Baden-Württemberg
79206,Breisach am Rhein,Breisgau-Hochschwarzwald,Baden-Württemberg
79669,Zell im Wiesental,Kreis Lörrach,Baden-Württemberg
72793,Pfullingen,Kreis Reutlingen,Baden-Württemberg
88356,Ostrach,Kreis Sigmaringen,Baden-Württemberg
97957,Ostrach,Kreis Sigmaringen,Baden-Württemberg
97999,Ostrach,Kreis Sigmaringen,Baden-Württemberg
97957,Wittighausen,Main-Tauber-Kreis,Baden-Württemberg
97990,Weikersheim,Main-Tauber-Kreis,Baden-Württemberg
97959,Assamstadt,Main-Tauber-Kreis,Baden-Württemberg
97944,Boxberg/Baden,Main-Tauber-Kreis,Baden-Württemberg
71404,Korb,Rems-Murr-Kreis,Baden-Württemberg
73663,Berglen,Rems-Murr-Kreis,Baden-Württemberg
88367,Hohentengen b. Saulgau,Kreis Sigmaringen,Baden-Württemberg
74582,Gerabronn,Kreis Schwäbisch Hall,Baden-Württemberg
74585,Gerabronn,Kreis Schwäbisch Hall,Baden-Württemberg
74585,Rot am See,Kreis Schwäbisch Hall,Baden-Württemberg
97877,Wertheim,Main-Tauber-Kreis,Baden-Württemberg
79194,Heuweiler,Breisgau-Hochschwarzwald,Baden-Württemberg
72827,Wannweil,Kreis Reutlingen,Baden-Württemberg
73667,Kaisersbach,Rems-Murr-Kreis,Baden-Württemberg
73642,Kaisersbach,Rems-Murr-Kreis,Baden-Württemberg
73553,Kaisersbach,Rems-Murr-Kreis,Baden-Württemberg
73667,Welzheim,Rems-Murr-Kreis,Baden-Württemberg
73642,Welzheim,Rems-Murr-Kreis,Baden-Württemberg
73553,Welzheim,Rems-Murr-Kreis,Baden-Württemberg
73635,Welzheim,Rems-Murr-Kreis,Baden-Württemberg
73655,Plüderhausen,Rems-Murr-Kreis,Baden-Württemberg
73642,Plüderhausen,Rems-Murr-Kreis,Baden-Württemberg
73655,Alfdorf,Rems-Murr-Kreis,Baden-Württemberg
73553,Alfdorf,Rems-Murr-Kreis,Baden-Württemberg
73568,Alfdorf,Rems-Murr-Kreis,Baden-Württemberg
73577,Alfdorf,Rems-Murr-Kreis,Baden-Württemberg
73553,Schwäbisch Gmünd,Ostalbkreis,Baden-Württemberg
73550,Schwäbisch Gmünd,Ostalbkreis,Baden-Württemberg
73525,Schwäbisch Gmünd,Ostalbkreis,Baden-Württemberg
73529,Schwäbisch Gmünd,Ostalbkreis,Baden-Württemberg
73072,Schwäbisch Gmünd,Ostalbkreis,Baden-Württemberg
73527,Schwäbisch Gmünd,Ostalbkreis,Baden-Württemberg
77709,Oberwolfach,Ortenaukreis,Baden-Württemberg
71720,Oberstenfeld,Kreis Ludwigsburg,Baden-Württemberg
71720,Beilstein/Württemberg,Kreis Heilbronn,Baden-Württemberg
71543,Beilstein/Württemberg,Kreis Heilbronn,Baden-Württemberg
71717,Beilstein/Württemberg,Kreis Heilbronn,Baden-Württemberg
88048,Friedrichshafen,Bodenseekreis,Baden-Württemberg
88045,Friedrichshafen,Bodenseekreis,Baden-Württemberg
88046,Friedrichshafen,Bodenseekreis,Baden-Württemberg
77886,Lauf/Baden,Ortenaukreis,Baden-Württemberg
77887,Sasbachwalden,Ortenaukreis,Baden-Württemberg
77880,Sasbach b. Achern,Ortenaukreis,Baden-Württemberg
77855,Achern,Ortenaukreis,Baden-Württemberg
77830,Bühlertal,Kreis Rastatt,Baden-Württemberg
77815,Bühl,Kreis Rastatt,Baden-Württemberg
79685,Häg-Ehrsberg,Kreis Lörrach,Baden-Württemberg
79674,Todtnau,Kreis Lörrach,Baden-Württemberg
72124,Pliezhausen,Kreis Reutlingen,Baden-Württemberg
72138,Kirchentellinsfurt,Kreis Tübingen,Baden-Württemberg
73113,Ottenbach,Kreis Göppingen,Baden-Württemberg
73529,Ottenbach,Kreis Göppingen,Baden-Württemberg
73550,Waldstetten/Württemberg,Ostalbkreis,Baden-Württemberg
73072,Waldstetten/Württemberg,Ostalbkreis,Baden-Württemberg
76547,Sinzheim,Kreis Rastatt,Baden-Württemberg
76571,Gaggenau,Kreis Rastatt,Baden-Württemberg
74653,Künzelsau,Hohenlohekreis,Baden-Württemberg
72525,Münsingen,Kreis Reutlingen,Baden-Württemberg
71737,Kirchberg an der Murr,Rems-Murr-Kreis,Baden-Württemberg
71729,Kirchberg an der Murr,Rems-Murr-Kreis,Baden-Württemberg
71729,Erdmannhausen,Kreis Ludwigsburg,Baden-Württemberg
71711,Marbach am Neckar,Kreis Ludwigsburg,Baden-Württemberg
71672,Marbach am Neckar,Kreis Ludwigsburg,Baden-Württemberg
71711,Steinheim an der Murr,Kreis Ludwigsburg,Baden-Württemberg
71543,Wüstenrot,Kreis Heilbronn,Baden-Württemberg
71577,Wüstenrot,Kreis Heilbronn,Baden-Württemberg
71686,Remseck am Neckar,Kreis Ludwigsburg,Baden-Württemberg
